Borough,Average House Price,Latitude,Longitude
1 Mai,1690,44.4711,26.05
13 Septembrie-Panduri,1250,44.2518,26.0406
Aviatiei,2060,44.4823,26.0981
Andronache,1300,44.4785,26.1501
Baicului,990,44.4481,26.1493
Baneasa,1670,44.4938,26.076
Berceni,1130,44.3891,26.1183
Bucuresti Noi,1300,44.4936,26.031
Calea Calarasilor,1700,44.4325,26.1248
Colentina,1110,44.4715,26.1632
Cotroceni,1700,44.4298,26.0696
Crângasi,1210,44.4549,26.048
Dacia-Eminescu,1860,44.4464,26.11
Decebal,1700,44.4288,26.1334
Dorobanti,2130,44.4596,26.0976
Doamna Ghica,990,44.4544,26.1395
Dristor-Vitan Vechi,1380,44.4185,26.1415
Drumul Taberei,1100,44.4214,26.0344
Domenii,1690,44.4693,26.0621
Ferentari,800,44.3933,26.0805
Ferdinand,1330,44.4434,26.1282
Floresca,2130,44.4655,26.1052
Fundeni,1040,44.4629,26.1722
Gara de Nord,1220,44.4456,26.0749
Ghencea,880,44.4113,26.0227
Giulesti,1030,44.4539,26.0534
Giurgiului,1040,44.3897,26.0931
Grozavesti,1210,44.441,26.0597
Grivita,1220,44.4614,26.0619
Herastrau-Nordului,2720,44.4831,26.0889
Iancului-Mihai Bravu,1400,44.4412,26.1336
Aviatorilor,2590,44.462,26.0841
Militari,1040,44.4399,26.025
Mosilor,1410,44.4393,26.111
Morarilor,1230,44.4394,26.1675
Muncii,1400,44.4319,26.1394
Obor,1400,44.4491,26.1255
Ozana,1110,44.4118,26.1787
Oltenitei,1110,44.3985,26.11
Pantelimon,1110,44.444,26.1709
Parcul Carol,1540,44.4154,26.0999
Pipera,1540,44.480753,26.115546
Rahova,990,44.3963,26.0574
Stefan Cel Mare,1470,44.4531,26.1069
Tei,1300,44.4603,26.1195
